image_path,label
clean_dataset/open/00_01_palm_frame_00_01_0124.png,open
clean_dataset/open/00_01_palm_frame_00_01_0142.png,open
clean_dataset/open/00_01_palm_frame_00_01_0159.png,open
clean_dataset/open/00_01_palm_frame_00_01_0139.png,open
clean_dataset/open/00_01_palm_frame_00_01_0030.png,open
clean_dataset/open/00_01_palm_frame_00_01_0160.png,open
clean_dataset/open/00_01_palm_frame_00_01_0117.png,open
clean_dataset/open/00_01_palm_frame_00_01_0104.png,open
clean_dataset/open/00_01_palm_frame_00_01_0046.png,open
clean_dataset/open/00_01_palm_frame_00_01_0013.png,open
clean_dataset/open/00_01_palm_frame_00_01_0051.png,open
clean_dataset/open/00_01_palm_frame_00_01_0122.png,open
clean_dataset/open/00_01_palm_frame_00_01_0078.png,open
clean_dataset/open/00_01_palm_frame_00_01_0186.png,open
clean_dataset/open/00_01_palm_frame_00_01_0014.png,open
clean_dataset/open/00_01_palm_frame_00_01_0053.png,open
clean_dataset/open/00_01_palm_frame_00_01_0101.png,open
clean_dataset/open/00_01_palm_frame_00_01_0094.png,open
clean_dataset/open/00_01_palm_frame_00_01_0112.png,open
clean_dataset/open/00_01_palm_frame_00_01_0136.png,open
clean_dataset/open/00_01_palm_frame_00_01_0074.png,open
clean_dataset/open/00_01_palm_frame_00_01_0005.png,open
clean_dataset/open/00_01_palm_frame_00_01_0121.png,open
clean_dataset/open/00_01_palm_frame_00_01_0199.png,open
clean_dataset/open/00_01_palm_frame_00_01_0026.png,open
clean_dataset/open/00_01_palm_frame_00_01_0128.png,open
clean_dataset/open/00_01_palm_frame_00_01_0115.png,open
clean_dataset/open/00_01_palm_frame_00_01_0008.png,open
clean_dataset/open/00_01_palm_frame_00_01_0019.png,open
clean_dataset/open/00_01_palm_frame_00_01_0047.png,open
clean_dataset/open/00_01_palm_frame_00_01_0180.png,open
clean_dataset/open/00_01_palm_frame_00_01_0040.png,open
clean_dataset/open/00_01_palm_frame_00_01_0152.png,open
clean_dataset/open/00_01_palm_frame_00_01_0169.png,open
clean_dataset/open/00_01_palm_frame_00_01_0100.png,open
clean_dataset/open/00_01_palm_frame_00_01_0144.png,open
clean_dataset/open/00_01_palm_frame_00_01_0177.png,open
clean_dataset/open/00_01_palm_frame_00_01_0075.png,open
clean_dataset/open/00_01_palm_frame_00_01_0020.png,open
clean_dataset/open/00_01_palm_frame_00_01_0103.png,open
clean_dataset/open/00_01_palm_frame_00_01_0086.png,open
clean_dataset/open/00_01_palm_frame_00_01_0009.png,open
clean_dataset/open/00_01_palm_frame_00_01_0191.png,open
clean_dataset/open/00_01_palm_frame_00_01_0105.png,open
clean_dataset/open/00_01_palm_frame_00_01_0163.png,open
clean_dataset/open/00_01_palm_frame_00_01_0056.png,open
clean_dataset/open/00_01_palm_frame_00_01_0111.png,open
clean_dataset/open/00_01_palm_frame_00_01_0058.png,open
clean_dataset/open/00_01_palm_frame_00_01_0164.png,open
clean_dataset/open/00_01_palm_frame_00_01_0200.png,open
clean_dataset/open/00_01_palm_frame_00_01_0147.png,open
clean_dataset/open/00_01_palm_frame_00_01_0057.png,open
clean_dataset/open/00_01_palm_frame_00_01_0173.png,open
clean_dataset/open/00_01_palm_frame_00_01_0032.png,open
clean_dataset/open/00_01_palm_frame_00_01_0039.png,open
clean_dataset/open/00_01_palm_frame_00_01_0089.png,open
clean_dataset/open/00_01_palm_frame_00_01_0137.png,open
clean_dataset/open/00_01_palm_frame_00_01_0125.png,open
clean_dataset/open/00_01_palm_frame_00_01_0154.png,open
clean_dataset/open/00_01_palm_frame_00_01_0183.png,open
clean_dataset/open/00_01_palm_frame_00_01_0146.png,open
clean_dataset/open/00_01_palm_frame_00_01_0106.png,open
clean_dataset/open/00_01_palm_frame_00_01_0166.png,open
clean_dataset/open/00_01_palm_frame_00_01_0068.png,open
clean_dataset/open/00_01_palm_frame_00_01_0076.png,open
clean_dataset/open/00_01_palm_frame_00_01_0131.png,open
clean_dataset/open/00_01_palm_frame_00_01_0185.png,open
clean_dataset/open/00_01_palm_frame_00_01_0178.png,open
clean_dataset/open/00_01_palm_frame_00_01_0036.png,open
clean_dataset/open/00_01_palm_frame_00_01_0181.png,open
clean_dataset/open/00_01_palm_frame_00_01_0041.png,open
clean_dataset/open/00_01_palm_frame_00_01_0024.png,open
clean_dataset/open/00_01_palm_frame_00_01_0059.png,open
clean_dataset/open/00_01_palm_frame_00_01_0165.png,open
clean_dataset/open/00_01_palm_frame_00_01_0114.png,open
clean_dataset/open/00_01_palm_frame_00_01_0126.png,open
clean_dataset/open/00_01_palm_frame_00_01_0023.png,open
clean_dataset/open/00_01_palm_frame_00_01_0080.png,open
clean_dataset/open/00_01_palm_frame_00_01_0067.png,open
clean_dataset/open/00_01_palm_frame_00_01_0017.png,open
clean_dataset/open/00_01_palm_frame_00_01_0007.png,open
clean_dataset/open/00_01_palm_frame_00_01_0043.png,open
clean_dataset/open/00_01_palm_frame_00_01_0134.png,open
clean_dataset/open/00_01_palm_frame_00_01_0085.png,open
clean_dataset/open/00_01_palm_frame_00_01_0143.png,open
clean_dataset/open/00_01_palm_frame_00_01_0192.png,open
clean_dataset/open/00_01_palm_frame_00_01_0099.png,open
clean_dataset/open/00_01_palm_frame_00_01_0108.png,open
clean_dataset/open/00_01_palm_frame_00_01_0175.png,open
clean_dataset/open/00_01_palm_frame_00_01_0069.png,open
clean_dataset/open/00_01_palm_frame_00_01_0044.png,open
clean_dataset/open/00_01_palm_frame_00_01_0092.png,open
clean_dataset/open/00_01_palm_frame_00_01_0071.png,open
clean_dataset/open/00_01_palm_frame_00_01_0064.png,open
clean_dataset/open/00_01_palm_frame_00_01_0157.png,open
clean_dataset/open/00_01_palm_frame_00_01_0127.png,open
clean_dataset/open/00_01_palm_frame_00_01_0011.png,open
clean_dataset/open/00_01_palm_frame_00_01_0116.png,open
clean_dataset/open/00_01_palm_frame_00_01_0045.png,open
clean_dataset/open/00_01_palm_frame_00_01_0141.png,open
clean_dataset/open/00_01_palm_frame_00_01_0135.png,open
clean_dataset/open/00_01_palm_frame_00_01_0109.png,open
clean_dataset/open/00_01_palm_frame_00_01_0171.png,open
clean_dataset/open/00_01_palm_frame_00_01_0174.png,open
clean_dataset/open/00_01_palm_frame_00_01_0035.png,open
clean_dataset/open/00_01_palm_frame_00_01_0098.png,open
clean_dataset/open/00_01_palm_frame_00_01_0073.png,open
clean_dataset/open/00_01_palm_frame_00_01_0061.png,open
clean_dataset/open/00_01_palm_frame_00_01_0119.png,open
clean_dataset/open/00_01_palm_frame_00_01_0196.png,open
clean_dataset/open/00_01_palm_frame_00_01_0062.png,open
clean_dataset/open/00_01_palm_frame_00_01_0001.png,open
clean_dataset/open/00_01_palm_frame_00_01_0193.png,open
clean_dataset/open/00_01_palm_frame_00_01_0187.png,open
clean_dataset/open/00_01_palm_frame_00_01_0027.png,open
clean_dataset/open/00_01_palm_frame_00_01_0184.png,open
clean_dataset/open/00_01_palm_frame_00_01_0190.png,open
clean_dataset/open/00_01_palm_frame_00_01_0158.png,open
clean_dataset/open/00_01_palm_frame_00_01_0156.png,open
clean_dataset/open/00_01_palm_frame_00_01_0048.png,open
clean_dataset/open/00_01_palm_frame_00_01_0150.png,open
clean_dataset/open/00_01_palm_frame_00_01_0194.png,open
clean_dataset/open/00_01_palm_frame_00_01_0084.png,open
clean_dataset/open/00_01_palm_frame_00_01_0004.png,open
clean_dataset/open/00_01_palm_frame_00_01_0018.png,open
clean_dataset/open/00_01_palm_frame_00_01_0120.png,open
clean_dataset/open/00_01_palm_frame_00_01_0088.png,open
clean_dataset/open/00_01_palm_frame_00_01_0037.png,open
clean_dataset/open/00_01_palm_frame_00_01_0102.png,open
clean_dataset/open/00_01_palm_frame_00_01_0081.png,open
clean_dataset/open/00_01_palm_frame_00_01_0060.png,open
clean_dataset/open/00_01_palm_frame_00_01_0107.png,open
clean_dataset/open/00_01_palm_frame_00_01_0096.png,open
clean_dataset/open/00_01_palm_frame_00_01_0031.png,open
clean_dataset/open/00_01_palm_frame_00_01_0168.png,open
clean_dataset/open/00_01_palm_frame_00_01_0162.png,open
clean_dataset/open/00_01_palm_frame_00_01_0050.png,open
clean_dataset/open/00_01_palm_frame_00_01_0118.png,open
clean_dataset/open/00_01_palm_frame_00_01_0189.png,open
clean_dataset/open/00_01_palm_frame_00_01_0133.png,open
clean_dataset/open/00_01_palm_frame_00_01_0090.png,open
clean_dataset/open/00_01_palm_frame_00_01_0063.png,open
clean_dataset/open/00_01_palm_frame_00_01_0079.png,open
clean_dataset/open/00_01_palm_frame_00_01_0021.png,open
clean_dataset/open/00_01_palm_frame_00_01_0042.png,open
clean_dataset/open/00_01_palm_frame_00_01_0054.png,open
clean_dataset/open/00_01_palm_frame_00_01_0028.png,open
clean_dataset/open/00_01_palm_frame_00_01_0077.png,open
